1. A) Мухамеджан Сералин B) Ахмет Байтурсынов C) Миржакып Дулатов D) Алихан Букейханов | A
250. A) Чагатая, Угэдэя, Тулуя B) Джучи, Чагатая, Угэдэя C) Батыя, Берке, Мункэ D) Тохтамыша, Едигея, Махмуда | B
251. A) 1985–1986 годы B) 1987–1988 годы C) 1989–1990 годы D) 1991–1992 годы | C
252. A) 29 марта 1994 года B) 16 декабря 2001 года C) 5 октября 1992 года D) 10 декабря 1997 года | C
253. A) 1 декабря 1991 года B) 25 октября 1990 года C) 16 декабря 2001 года в Астане D) 30 августа 1995 года в Алматы | C
254. A) 16 декабря 1991 года B) 25 октября 1990 года C) 1 декабря 1991 года D) 28 января 1993 года | C
255. A) 16 декабря 1991 года B) 1 декабря 1991 года C) 25 октября 1990 года D) 28 января 1993 года | C
256. A) Ташкент B) Москва C) Минск, Алма-Ата D) Бишкек | C
257. A) Гражданское движение «Азат» B) Партия «Отан» C) Сведения отсутствуют D) Демократическая партия | C
258. A) Правительство Республики Казахстан B) Конституционный суд C) Верховный Совет D) Сенат Парламента | C
259. A) Законодательный орган B) Исполнительная власть C) Консультативный орган при Президенте D) Судебная инстанция | C
260. A) 25 октября 1990 года B) 1 декабря 1991 года C) 16 декабря 1991 года D) 28 января 1993 года | C
261. A) «Казахстан 2030» B) «Стратегия становления и развития Казахстана» C) «Путь к независимости» D) «Новый Казахстан» | B
262. A) 16 декабря 1991 года B) 1 декабря 1991 года C) 4 июня 1992 года D) 28 января 1993 года | C
263. A) Ж. Малибеков B) О. Сулейменов C) Ш. Ниязбеков D) М. Кенжебаев | C
264. A) Ж. Нажимеденов B) Ш. Валиханов C) Ш. Ниязбеков D) Н. Назарбаев | C
265. A) 1 декабря 2001 года в Алматы B) 25 октября 2000 года в Астане C) 16 декабря 2001 года в Астане D) 30 августа 2001 года в Караганде | C
266. A) 16 декабря 1991 года в Алматы B) 1 декабря 1991 года в Астане C) 24 марта 1995 года в Алматы D) 30 августа 1995 года в Алматы | C
267. A) Создание нового правительства B) Демократические реформы C) ГКЧП, попытка переворота D) Экономический кризис | C
268. A) 12 партий, мажоритарная система B) 7 партий, смешанная система C) 9 партий, пропорциональная система D) 5 партий, одномандатная система | C
269. A) «Азат», 25,5% B) «Народное единство», 35,2% C) «Отан», 30,89% D) «Аграрная партия», 28,3% | C
270. A) Год молодежи B) Год спорта C) Год поддержки культуры D) Год образования | C
271. A) Осуждение терроризма B) Призыв к миру C) Соболезнование США, антитеррористическая коалиция D) Нейтралитет | C
272. A) 1999 год B) 2001 год C) Сведения отсутствуют D) 2002 год | C
273. A) Выборы в парламент B) Принятие конституции C) «Культурное наследие», партия «Асар», Год России D) Экономический форум | C
274. A) Аль-Бируни, Ибн Сина B) Махмуд Кашгари, Жусуп Баласагуни C) Йоллыг-тегин, аль-Фараби D) Бухар жырау, Асан Кайгы | C
275. A) Ликбез B) Грамчека C) Культпросвет D) Наробраз | B
276. A) Балхашский медеплавильный комбинат B) Соколовско-Сарбайский рудник C) Джездинский марганцевый рудник D) Карагандинский угольный бассейн | C
277. A) Библиотеки для кочевников B) Передвижные школы для мужчин C) Передвижные школы для женщин D) Медицинские центры | C
278. A) Алматы, 1925 год B) Оренбург, 1924 год C) Кызылорда, 1926 год D) Семипалатинск, 1927 год | C
279. A) Аграрный университет 1934 год B) Казахский педагогический институт, 1928 год C) Казахский национальный университет, 1929 год D) Карагандинский университет, 1930 год | B
280. A) НКВД B) КГБ C) ГУЛАГ D) ГПУ | C
281. A) 16 декабря 1993 года B) 10 явнаря 1993 года C) 28 января 1993 года D) 30 августа 1993 года | C
282. A) Ч. Валиханов, И. Алтынсарин B) М. Ауэзов, К. Сатпаев C) П.П. Семенов-Тян-Шанский, Н.А. Северцов, И.В. Мушкетов D) А. Букейханов, А. Байтурсынов | C
283. A) 16 декабря 1991 года B) 1 декабря 1991 года C) 25 октября 1990 года D) 28 января 1993 года | C
284. A) Пророссийская B) Прозападная C) Многовекторная D) Изоляционистская | C
285. A) 1 декабря 2001 года в Алматы B) 25 октября 2000 года в Астане C) 16 декабря 2001 года в Астане D) 30 августа 2001 года в Караганде | C
286. A) Областной уровень B) Республиканский уровень C) Аульный уровень D) Жузовый уровень | C
287. A) 1936 год, «Мосфильм» B) 1940 год, «Казахфильм» C) 1938 год, «Ленфильм» D) 1935 год, «Союзфильм» | C
288. A) «Турксиб» B) «Джамбул» C) «Амангельды» D) «Алдар Косе» | C
289. A) Т. Бегельдинов B) Н. Абдиров C) С. Баймагамбетов D) М. Габдуллин | C
290. A) Ф. Голощекин B) Т. Рыскулов C) С. Пестковский D) А. Байтурсынов | B
291. A) Отрар B) Сыгнак C) Кок-Мардан D) Туркестан | C
292. A) Центральный Казахстан, бассейн Сарысу B) Восточный Казахстан, Алтай C) Южный Казахстан, Ташкентский оазис, Сырдарья D) Западный Казахстан, Прикаспий | C
293. A) Европейские хроники B) Арабские источники C) «Ши цзи», «Цянь Ханьшоу», Чжан Цянь D) Персидские манускрипты | C
294. A) 1038 год B) 1040 год C) 1043 год D) 1045 год | B
295. A) Абд-ал-Керим, 920 год B) Сатук Богра-хан, 955 год C) Бильге Кюль Кадыр-хан, 960 год D) Харун Богра-хан, 992 год | B
296. A) От Алтая до Арала B) От Байкала до Каспия C) От Джунгарского Алатау до Сырдарьи D) От Тянь-Шаня до Иртыша | C
297. A) Византийская империя B) Персия C) Московское государство D) Китайская империя | C
298. A) Суяб на Чу B) Баласагун на Или C) Кимакия на Иртыше D) Отрар на Сырдарье | C
299. A) Ташкент, 20 ноября 1917 года B) Самарканд, 25 ноября 1917 года C) Коканд, 26–27 ноября 1917 года D) Бухара, 1 декабря 1917 года | C
300. A) 1815, 1825, 1835 годы B) 1821, 1845, 1858 годы C) 1830, 1850, 1860 годы D) 1810, 1840, 1855 годы | B
301. A) Комитет по земельным делам B) Переселенческое управление C) Комитет Сибирской железной дороги D) Степная комиссия | C
302. A) Жанкожа Нурмухамедов, Есет Котибаров B) Исатай Тайманов, Махамбет Утемисов C) Акмурза Тасов, Акмамбет Акжан D) Сеил Туркебаев, Беркин Оспанов | C
303. A) 1931 год B) 1936 год C) 1934 год D) 1938 год | C
304. A) Семиреченский фронт, А. Иманов B) Туркестанский фронт, М.В. Фрунзе C) Актюбинский фронт, Г.В. Зиновьев D) Оренбургский фронт, В.И. Чапаев | C
305. A) Отрар B) Тараз C) Сыгнак D) Туркестан | C
306. A) Кыпчаков B) Саков C) Сюнну D) Усуней | C
307. A) «О, народ!» B) «Пробудитесь!» C) «Как жаль, увы-увы!» D) «Вперед!» | C
308. A) Введение выборности B) Создание автономии C) Назначение вместо выборов D) Передача власти ханам | C
309. A) Развитие экономики B) Промышленное строительство C) Сохранение культурного наследия D) Образовательные реформы | C
310. A) Экономическое развитие B) Военная подготовка C) Пробуждение национального самосознания D) Создание государства | C
311. A) Центральная Азия, Тянь-Шань B) Семиречье, Восточный Туркестан C) Южный Казахстан, Сырдарья D) Жетысу, Балхаш | B
312. A) Через китайских чиновников B) Напрямую из Каракорума C) Через беков, баскаков D) Через ханов-Чингизидов | C
313. A) 1206 год B) 1211 год C) 1219 год D) 1227 год | B
314. A) «Джамид ат-таварих» B) «Бабур-наме» C) «Тарих-и Рашиди» D) «Зафар-наме» | C
315. A) 1997 год B) 1999 год C) 2001 год D) 2003 год | C
316. A) Экономический кризис B) Демографические проблемы C) Независимость, глобализм, терроризм D) Экологические катастрофы | C
317. A) Демократизация общества B) Развитие сельского хозяйства C) Конкурентоспособность государства, экономики, нации D) Интеграция в мировое сообщество | C
318. A) Алтай-Саяны, долина Енисея B) Семиречье-Чуйская долина, Таласская долина C) Верхний Иртыш-Орхон, бассейн Онгина D) Балхаш-Алакольская впадина, долина Или | C
319. A) Тогуз-огуз B) Он-ок C) Секиз-огуз D) Уч-ок | C
320. A) Завоевание Чингисханом B) Эпидемии и голод C) Междоусобицы, давление сельджуков и кыпчаков D) Нашествие монголов | C
321. A) Византийский император Константин B) Киевский князь Святослав C) Хорезмшах Мухаммед D) Арабский халиф | B
322. A) Н.М. Пржевальский B) П.П. Семенов-Тян-Шанский C) Д.Г. Мессершмидт D) Г.Н. Потанин | C
323. A) Массагеты B) Саки-тиграхауда C) Исседоны D) Даи | B
324. A) Страбон B) Плиний Старший C) Геродот D) Ксенофонт | C
325. A) Массовое переселение крестьян B) Создание торговых факторий C) Укрепленные линии крепостей D) Миссионерская деятельность | C
326. A) Туркревком, Т. Рыскулов B) Казкрайком, Ф. Голощекин C) Кирревком, С. Пестковский D) Совнарком, А. Жангельдин | C
327. A) Китай, Индия, Арабский халифат B) Персия, Ассирия, Урарту C) Византия, Рим, Карфаген D) Египет, Вавилон, Хеттское царство | B
328. A) Победа над джунгарами в 1643 году B) Гибель в сражении с ойратами 1652 года C) Гибель в сражении с ойратами 1652 года D) Заключение союза с Россией в 1645 году | A
329. A) Налоговая реформа B) Запрет торговли C) Введение Устава 1822 года D) Земельная реформа | C
330. A) 16 декабря 1991 года B) 25 октября 1992 года C) 29 августа 1991 года D) 1 декабря 1991 года | C
331. A) «Советский Казахстан», «Комсомолец Семиречья» B) «Рабочий Урала», «Строитель Алматы» C) «Колхозник Казахстана», «Турксибовец», «Шахтер Караганды» D) «Нефтяник Эмбы», «Железнодорожник» | C
332. A) 8 стрелковых, 2 кавалерийских дивизий B) 12 стрелковых, 4 кавалерийских дивизий C) 15 стрелковых, 5 кавалерийских дивизий D) 10 стрелковых, 3 кавалерийских дивизий | B
333. A) Нашествие других кочевых племен B) Внутренние междоусобицы C) Теснение китайцев D) Климатические изменения | C
334. A) И. Панфилов, Т. Бегельдинов B) М. Габдуллин, А. Молдагулова C) Н. Абдиров, К. Спатаев, Г. Рамаев D) С. Луганский, Б. Момыш-улы | C
335. A) Дальний, Степной, Песчаный, Актюбинский B) Карлаг, «Алжир», Степной, Песчаный C) Камышлаг, Жезказганлаг, Кингир D) Все перечисленные лагеря | B
336. A) Январь 1930 года, «Известия», «О головокружении» B) Февраль 1930 года, «Правда», «Об ошибках» C) Март 1930 года, «Правда», «Головокружение от успехов» D) Апрель 1930 года, «Правда», «О перегибах» | C
337. A) Ликвидация помещичьего землевладения B) Развитие промышленности C) Создание кулацкой прослойки D) Коллективизация сельского хозяйства | C
338. A) Оренбург B) Петербург C) Калуга D) Сибирь | C
339. A) Перовск, Казалинск B) Таушубек, Ак-Мечеть C) Сузак, Яныкурган D) Жулек, Жанакорган | B
340. A) Степная область B) Сырдарьинская область C) Туркестанская область D) Семиреченская область | C
341. A) Мирные переговоры, выдача лидеров B) Амнистия, освобождение пленных C) Разгром, грабеж аулов, угон 21 400 голов скота D) Создание комиссии, компенсация убытков | C
342. A) Восстание против джунгар B) Война с Кокандом C) Изъятие земель, запрет кочевания, джут 1782/83 D) Налоговая политика России | C
343. A) Урочище Батпаккара B) Урочище Мынбулак C) Река Сагыз D) Река Эмба | C
344. A) Тюргеши B) Огузы C) Карлуки D) Кимаки | C
345. A) Отрар, Сыгнак, Дженд B) Сайрам, Ташкент, Туркестан, Самарканд C) Бухара, Хива, Коканд D) Мерв, Балх, Герат | B
346. A) Военный союз, взаимная защита B) Экономическая интеграция C) Суверенитет, равноправие, невмешательство D) Создание единого государства | C
347. A) 5 тысяч воинов B) 1 тысяча воинов C) 10 тысяч воинов D) 100 воинов | C
348. A) Тардуш B) Уч-Элиг C) Сулу D) Ушлик-каган | B
349. A) Завоевание Средней Азии B) Союз с Китаем C) Борьба против арабов, нейтрализация Китая D) Экспансия в Европу | C
350. A) IV век B) V век C) VI век D) VII век | C
351. A) Казахстан B) Китай C) Монголия D) Россия | C
352. A) От Байкала до Урала B) От Алтая до Каспия C) От Корейского до Крымского полуострова D) От Китая до Индии | C
353. A) Китай и Индия B) Египет и Вавилон C) Персия и Византия D) Рим и Карфаген | C
354. A) Династия Ашина B) Род Ашина C) Племя тюрков D) Каган | B
355. A) Акмолинская и Семипалатинская B) Семиреченская и Сырдарьинская C) Тургайская и Уральская D) Западно-Казахстанская и Атырауская | B
356. A) «Целина – наше достижение» B) «50 лет великому проекту» C) «Поднятая целина – символ дружбы и созидания» D) «Целинники – герои труда» | C
357. A) Созыв Учредительного собрания B) Земельная реформа C) Отмена ограничений, амнистия участникам восстания 1916 D) Национализация промышленности | C
358. A) Демократические реформы B) Экономическое развитие C) Прежняя политика в земельном и национальном вопросах D) Отмена крепостного права | C
359. A) Казахский рабочий союз B) Союз мусульман-рабочих C) Русско-киргизский союз против капитала D) Профсоюз горняков | C
360. A) Сыма Цянь, III век до н.э. B) Чжан Цянь, II век до н.э. C) Бань Гу, I век н.э. D) Сыма Гуан, XI век н.э. | B
361. A) Ф. Голощекин B) Е. Ерназаров C) Т. Рыскулов D) С. Пестковский | B
362. A) Принятие ислама B) Распад Тюркского каганата C) Монгольское нашествие D) Образование Казахского ханства | C
363. A) Центральный и Северный Казахстан B) Западный Казахстан C) Южный и Юго-Восточный Казахстан D) Семиречье и Жетысу | C
364. A) По прямой линии Пекин-Петербург B) По водоразделу C) По Великой Китайской стене D) По горным хребтам Алтая | B
365. A) Самарканд B) Бухара C) Ташкент D) Хива | B


























































































































































































































































































































































































































































































































































































































































